instant,dateday,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count,windspeed_category
1,2011-01-01,Spring,2011,January,0,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.395,81.0,0.0,3,13,16,
2,2011-01-01,Spring,2011,January,1,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.635,80.0,0.0,8,32,40,
3,2011-01-01,Spring,2011,January,2,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.635,80.0,0.0,5,27,32,
4,2011-01-01,Spring,2011,January,3,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.395,75.0,0.0,3,10,13,
5,2011-01-01,Spring,2011,January,4,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.395,75.0,0.0,0,1,1,
6,2011-01-01,Spring,2011,January,5,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,9.84,12.879999999999999,75.0,6.0032,0,1,1,Low Wind
7,2011-01-01,Spring,2011,January,6,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.635,80.0,0.0,2,0,2,
8,2011-01-01,Spring,2011,January,7,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,
9,2011-01-01,Spring,2011,January,8,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.395,75.0,0.0,1,7,8,
10,2011-01-01,Spring,2011,January,9,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,
11,2011-01-01,Spring,2011,January,10,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,15.58,19.695,76.0,16.997899999999998,12,24,36,Medium Wind
12,2011-01-01,Spring,2011,January,11,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,14.76,16.665,81.0,19.0012,26,30,56,Medium Wind
13,2011-01-01,Spring,2011,January,12,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,17.22,21.21,77.0,19.0012,29,55,84,Medium Wind
14,2011-01-01,Spring,2011,January,13,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,72.0,19.999499999999998,47,47,94,Medium Wind
15,2011-01-01,Spring,2011,January,14,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,72.0,19.0012,35,71,106,Medium Wind
16,2011-01-01,Spring,2011,January,15,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,77.0,19.999499999999998,40,70,110,Medium Wind
17,2011-01-01,Spring,2011,January,16,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,17.22,21.21,82.0,19.999499999999998,41,52,93,Medium Wind
18,2011-01-01,Spring,2011,January,17,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,82.0,19.0012,15,52,67,Medium Wind
19,2011-01-01,Spring,2011,January,18,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,17.22,21.21,88.0,16.997899999999998,9,26,35,Medium Wind
20,2011-01-01,Spring,2011,January,19,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,17.22,21.21,88.0,16.997899999999998,6,31,37,Medium Wind
21,2011-01-01,Spring,2011,January,20,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Medium Wind
22,2011-01-01,Spring,2011,January,21,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Low Wind
23,2011-01-01,Spring,2011,January,22,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Medium Wind
